,number,id,link,title,area,rooms,address,price,company_link,company_name,date
0,1,210853681,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210853681,"2-ком. квартира 45,4 м², 5/5 эт.",Центральный,2,"Центральный р-н, ул. Советская, д. 54","66 000 р. 1 453,74  р./м²",/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер""",2022-05-12
1,2,210860270,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210860270,"3-ком. квартира 75,2 м², 18/18 эт.",Советский,3,"Советский р-н, пр-т Речицкий, д. 78","114 540 р. 1 523,54  р./м²",/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер""",2022-10-25
2,3,210858328,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210858328,"3-ком. квартира 71,2 м², 5/9 эт.",Железнодорожный,3,"Железнодорожный р-н, ул. Чапаева, д. 4","93 100 р. 1 307,58  р./м²",/single_spec.php?id=208314513,"Агентство ООО ""Капитал недвижимости""",2022-12-20
3,4,210860168,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210860168,"1-ком. квартира 35,4 м², 5/5 эт.",Советский,1,"Советский р-н, мкр Энергетиков, д. 29","42 330 р. 1 195,76  р./м²",/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер""",2022-10-24
4,5,210861376,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210861376,"1-ком. квартира 21,6 м², 7/9 эт.",Советский,1,"Советский р-н, ул. 60 лет СССР, д. 27","40 000 р. 1 851,85  р./м²",/single_spec.php?id=207501945,Агентство,2022-12-19
5,6,210862153,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210862153,"1-ком. квартира 30,9 м², 9/10 эт.",Центральный,1,"Центральный р-н, ул. Чечерская, д. 27","62 250 р. 2 016,52  р./м²",/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер""",2022-11-15
6,7,210861389,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210861389,"2-ком. квартира 49,7 м², 4/5 эт.",Центральный,2,"Центральный р-н, пр-т Ленина, д. 34","80 735 р. 1 625,76  р./м²",/single_spec.php?id=208314513,"Агентство ООО ""Капитал недвижимости""",2022-11-21
7,8,210861391,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210861391,"2-ком. квартира 55,9 м², 2/10 эт.",Советский,2,"Советский р-н, ул. Г.Денисенко, д. 48","126 480 р. 2 262,61  р./м²",/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер""",2022-12-13
8,9,210865162,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210865162,"1-ком. квартира 29,3 м², 8/9 эт.",Железнодорожный,1,"Железнодорожный р-н, ул. Богданова, д. 1","41 250 р. 1 409,29  р./м²",/single_spec.php?id=210838521,Агентство ООО «Центр недвижимости «Престиж»,2022-12-20
9,10,210862179,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210862179,"3-ком. квартира 79,9 м², 2/10 эт.",Центральный,3,"Центральный р-н, ул. Тельмана, д. 3 (Новый универмаг)","213 150 р. 2 667,71  р./м²",/single_spec.php?id=207501945,"Агентство ООО ""Гид по недвижимости""",2022-12-21
10,11,210862658,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210862658,"3-ком. квартира 64,5 м², 8/10 эт.",Центральный,3,"Центральный р-н, ул. Чечерская, д. 1",,/single_spec.php?id=210838521,"Агентство ООО ""Центр недвижимости ""Престиж""",2022-11-14
11,12,210866470,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210866470,"4-ком. квартира 63,3 м², 5/5 эт.",Советский,4,"Советский р-н, ул. Б.Хмельницкого, д. 64",,/single_spec.php?id=208314513,"Агентство ООО ""Капитал недвижимости""",2022-11-21
12,13,210871652,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210871652,"3-ком. квартира 78,9 м², 4/5 эт.",Центральный,3,"Центральный р-н, пр-т Ленина, д. 22 (""Карповича"")",,/single_spec.php?id=210280869,"Агентство ООО ""Ваше агентство недвижимости""",2022-12-21
13,14,210867547,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210867547,"2-ком. квартира 47 м², 6/9 эт.",Железнодорожный,2,"Железнодорожный р-н, ул. Огоренко, д. 17 (Волотова)","98 000 р. 2 085,11  р./м²",/single_spec.php?id=207501945,"Агентство ООО ""Гид по недвижимости""",2022-12-16
